station_id,year,variable,value
137,2018,tp,1244.2268
137,2019,ro,717.9163
137,2019,t2m,0.18953857
137,2019,tp,1315.3467
166,1979,ro,172.00386
166,1979,t2m,6.6109557
166,1979,tp,1367.9963
166,1980,ro,165.94357
166,1980,t2m,7.521417
166,1980,tp,1147.0616
166,1981,ro,197.68959
166,1981,t2m,7.3086486
166,1981,tp,1171.1204
166,1982,ro,233.76372
166,1982,t2m,8.283014
166,1982,tp,1331.1306
166,1983,ro,243.84276
166,1983,t2m,8.369959
166,1983,tp,1286.759
166,1984,ro,166.49622
166,1984,t2m,8.283289
166,1984,tp,1285.9243
166,1985,ro,214.9147
166,1985,t2m,6.8239074
166,1985,tp,1226.2755
166,1986,ro,240.30103
166,1986,t2m,7.047754
166,1986,tp,1350.0499
166,1987,ro,223.79689
166,1987,t2m,6.893762
166,1987,tp,1287.259
166,1988,ro,296.84695
166,1988,t2m,8.6224
166,1988,tp,1626.2935
166,1989,ro,175.07382
166,1989,t2m,9.336145
166,1989,tp,1103.1151
166,1990,ro,242.42384
166,1990,t2m,9.474817
166,1990,tp,1488.4702
166,1991,ro,189.10948
166,1991,t2m,8.52865
166,1991,tp,986.9
166,1992,ro,179.68655
166,1992,t2m,8.978968
166,1992,tp,1146.7174
166,1993,ro,147.31984
166,1993,t2m,7.8737426
166,1993,tp,964.61206
166,1994,ro,188.72176
166,1994,t2m,8.409235
166,1994,tp,1259.8215
166,1995,ro,198.98552
166,1995,t2m,8.692499
166,1995,tp,1032.2297
166,1996,ro,103.53871
166,1996,t2m,7.2657104
166,1996,tp,1054.4623
166,1997,ro,141.76115
166,1997,t2m,8.961939
166,1997,tp,1093.2925
166,1998,ro,172.89131
166,1998,t2m,8.304743
166,1998,tp,1250.3289
166,1999,ro,237.67653
166,1999,t2m,8.99328
166,1999,tp,1468.9525
166,2000,ro,389.09317
166,2000,t2m,9.254511
166,2000,tp,1768.1135
166,2001,ro,225.61403
166,2001,t2m,8.248957
166,2001,tp,1324.3555
166,2002,ro,175.22437
166,2002,t2m,9.08819
166,2002,tp,1325.7881
166,2003,ro,147.56548
166,2003,t2m,8.925196
166,2003,tp,1092.7908
166,2004,ro,261.3485
166,2004,t2m,8.950037
166,2004,tp,1385.3649
166,2005,ro,189.8385
166,2005,t2m,9.053736
166,2005,tp,1051.5583
166,2006,ro,363.62082
166,2006,t2m,9.482782
166,2006,tp,1538.5038
166,2007,ro,234.24786
166,2007,t2m,9.109278
166,2007,tp,1249.854
166,2008,ro,317.68698
166,2008,t2m,9.275476
166,2008,tp,1426.5114
